,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
0,Digital,OverDrive,EBOOK,2018,1,22,Enemy of the State,,Vince Flynn,"Fiction, Literature, Thriller","Simon & Schuster, Inc.",2017
3,Digital,OverDrive,EBOOK,2018,1,2,Anna Karenina,,Leo Tolstoy,"Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.",2009
4,Digital,OverDrive,EBOOK,2018,1,1,"Dragon: Vlad Series, Book 8",,Steven Brust,"Fantasy, Fiction",Macmillan Publishers,2015
5,Digital,OverDrive,EBOOK,2018,1,1,Little Dorrit,,Charles Dickens,"Classic Literature, Fiction, Literature","Random House, Inc.",2012
6,Digital,OverDrive,EBOOK,2018,1,2,The Inside Out Man,,Fred Strydom,"Fiction, Horror, Suspense, Thriller",Lightning Source Inc,2017
8,Digital,OverDrive,EBOOK,2018,2,1,Krik? Krak!,,Edwidge Danticat,"Fiction, Literature, Short Stories","Random House, Inc.",2013
11,Digital,OverDrive,EBOOK,2018,2,4,Starlings,,Jo Walton,"Fantasy, Fiction, Mythology, Short Stories",Lightning Source Inc,2018
17,Digital,OverDrive,EBOOK,2018,2,1,A Death in Valencia,,Jason Webster,"Fiction, Mystery",Macmillan Publishers,2016
24,Digital,OverDrive,EBOOK,2018,3,1,Wayne of Gotham,,Tracy Hickman,"Fiction, Literature",HarperCollins Publishers Inc.,2012
26,Digital,OverDrive,EBOOK,2018,3,5,I'd Know You Anywhere: A Novel,,Laura Lippman,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
28,Digital,OverDrive,EBOOK,2018,3,2,The Deep End of the Ocean,,Jacquelyn Mitchard,"Fiction, Literature","Penguin Group (USA), Inc.",2009
31,Digital,OverDrive,EBOOK,2018,3,2,The Mysterious Mr. Quin,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
32,Digital,OverDrive,EBOOK,2018,3,1,Secondhand Charm,,Julie Berry,"Fantasy, Young Adult Fiction",Bloomsbury USA,2010
33,Digital,OverDrive,EBOOK,2018,3,3,Apex: Nexus Trilogy Book 3,,Ramez Naam,"Fiction, Science Fiction, Thriller","Random House, Inc.",2016
37,Digital,OverDrive,EBOOK,2018,3,2,More Than This,,Patrick Ness,"Young Adult Fiction, Young Adult Literature",Candlewick Press,2013
40,Digital,OverDrive,EBOOK,2018,5,3,How to Listen to Jazz,,Ted Gioia,"History, Music, Nonfiction","Hachette Digital, Inc.",2016
41,Digital,OverDrive,EBOOK,2018,5,2,"Love, Chloe",,Alessandra Torre,"Fiction, Humor (Fiction), Romance",Lightning Source Inc,2016
44,Digital,OverDrive,EBOOK,2018,8,2,In Arabian Nights,,Tahir Shah,"Nonfiction, Travel","Random House, Inc.",2010
47,Digital,OverDrive,EBOOK,2018,10,4,Invitation to a Bonfire,,Adrienne Celt,"Fiction, Literature",Bloomsbury USA,2018
48,Digital,OverDrive,EBOOK,2018,11,18,And Then There Were None,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2006
50,Digital,OverDrive,EBOOK,2018,12,3,Love Is Murder,,Sandra Brown,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2013
51,Digital,OverDrive,EBOOK,2018,12,3,Monkey Play,,Alyssa Satin Capucilli,"Beginning Reader, Juvenile Fiction","Random House, Inc.",2013
52,Digital,OverDrive,EBOOK,2018,12,1,The History of Cuba,,Clifford L. Staten,"History, Nonfiction",ABC-CLIO,2010
53,Digital,OverDrive,EBOOK,2018,12,2,First Date,,Krista McGee,"Christian Fiction, Romance, Young Adult Fiction",Thomas Nelson Inc.,2012
56,Digital,OverDrive,EBOOK,2018,12,1,The Story of French,,Jean-Benoit Nadeau,"History, Language Arts, Nonfiction",Macmillan Publishers,2013
61,Digital,OverDrive,EBOOK,2018,12,1,Who Was Ben Franklin?,,Dennis Brindell Fradin,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
64,Digital,OverDrive,EBOOK,2018,12,2,"A Christmas Secret: Christmas Story Series, Book 4",,Anne Perry,"Fiction, Historical Fiction, Mystery","Random House, Inc.",2010
67,Digital,OverDrive,EBOOK,2018,12,6,In Other Lands,,Sarah Rees Brennan,"Fantasy, Folklore, Young Adult Fiction",Lightning Source Inc,2017
69,Digital,OverDrive,EBOOK,2018,12,1,"The Favored Child: Wideacre Trilogy, Book 2",,Philippa Gregory,"Fiction, Historical Fiction","Simon & Schuster, Inc.",2014
75,Digital,OverDrive,EBOOK,2018,12,2,The Girls' Guide to Hunting and Fishing,,Melissa Bank,"Fiction, Literature","Penguin Group (USA), Inc.",2013
113,Digital,OverDrive,EBOOK,2018,1,2,Smut,,Karina Halle,"Fiction, Romance","Smashwords, Inc.",2016
140,Digital,OverDrive,EBOOK,2018,1,2,Playing Dirty,,Susan Andersen,"Fiction, Romance","Harlequin Enterprises, Ltd.",2012
142,Digital,OverDrive,EBOOK,2018,1,1,Hunted,,Karen Robards,"Fiction, Romance, Suspense","Simon & Schuster, Inc.",2014
145,Digital,OverDrive,EBOOK,2018,1,1,Chomsky on Anarchism,,Noam Chomsky,"Essays, Nonfiction, Politics",Perseus Books Group,2010
146,Digital,OverDrive,EBOOK,2018,1,2,Timon of Athens,,William Shakespeare,"Drama, Fiction","Penguin Group (USA), Inc.",2011
147,Digital,OverDrive,EBOOK,2018,1,1,The White Plague,,Frank Herbert,"Fiction, Science Fiction",Macmillan Publishers,2013
148,Digital,OverDrive,EBOOK,2018,1,2,Momofuku Milk Bar,,Christina Tosi,"Cooking & Food, Nonfiction","Random House, Inc.",2011
150,Digital,OverDrive,EBOOK,2018,1,4,Joy in the Morning,,P. G. Wodehouse,"Fiction, Humor (Fiction)",W. W. Norton & Company,2015
152,Digital,OverDrive,EBOOK,2018,1,4,Ordinary Beast,,Nicole Sealey,"Fiction, Poetry",HarperCollins Publishers Inc.,2017
153,Digital,OverDrive,EBOOK,2018,1,13,Heroes of the Frontier,,Dave Eggers,"Fiction, Literature, Thriller","Random House, Inc.",2016
159,Digital,OverDrive,EBOOK,2018,1,1,The Bishop's Daughter,,Tiffany L. Warren,"Fiction, Literature","Hachette Digital, Inc.",2012
166,Digital,OverDrive,EBOOK,2018,1,1,Seating Arrangements,,Maggie Shipstead,"Fiction, Literature","Random House, Inc.",2012
168,Digital,OverDrive,EBOOK,2018,1,7,2BR02B,,Kurt Vonnegut,"Fiction, Science Fiction, Short Stories",Duke Classics,2018
169,Digital,OverDrive,EBOOK,2018,1,27,The Road,,Cormac McCarthy,"Fiction, Literature","Random House, Inc.",2008
172,Digital,OverDrive,EBOOK,2018,1,3,Warrior of the Light,,Paulo Coelho,Fiction,HarperCollins Publishers Inc.,2006
180,Digital,OverDrive,EBOOK,2018,1,2,Schindler's List,,Thomas Keneally,"Fiction, Historical Fiction","Simon & Schuster, Inc.",2014
181,Digital,OverDrive,EBOOK,2018,1,1,The Body Where I Was Born,,Guadalupe Nettel,"Fiction, Literature","Random House, Inc.",2015
182,Digital,OverDrive,EBOOK,2018,1,1,HHhH: A Novel,,Laurent Binet,"Fiction, Literature",Macmillan Publishers,2013
184,Digital,OverDrive,EBOOK,2018,1,1,Losing It,,Cora Carmack,"Fiction, Romance",HarperCollins Publishers Inc.,2013
185,Digital,OverDrive,EBOOK,2018,1,4,Freaky Deaky,,Elmore Leonard,Fiction,HarperCollins Publishers Inc.,2005
189,Digital,OverDrive,EBOOK,2018,1,3,The Toyota Way Fieldbook,,Jeffrey K. Liker,"Business, Nonfiction",McGraw-Hill Professional,2009
191,Digital,OverDrive,EBOOK,2018,1,1,Alternate Realities,,C. J. Cherryh,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2013
192,Digital,OverDrive,EBOOK,2018,1,1,Philosophy Made Simple,,Robert Hellenga,"Fiction, Literature","Hachette Digital, Inc.",2013
193,Digital,OverDrive,EBOOK,2018,1,3,Sparrow,,Sarah Moon,"Young Adult Fiction, Young Adult Literature","Scholastic, Inc. (US)",2017
194,Digital,OverDrive,EBOOK,2018,1,4,Blindness,,José Saramago,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2011
198,Digital,OverDrive,EBOOK,2018,1,1,Runaway Man: A Mystery,,David Handler,"Fiction, Mystery",Macmillan Publishers,2015
200,Digital,OverDrive,EBOOK,2018,1,2,The Turning: Stories,,Tim Winton,"Fiction, Literature, Short Stories","Simon & Schuster, Inc.",2014
202,Digital,OverDrive,EBOOK,2018,1,52,Don't Let Go,,Harlan Coben,"Fiction, Suspense, Thriller","Penguin Group (USA), Inc.",2017
203,Digital,OverDrive,EBOOK,2018,1,4,Straight from the Hip,,Susan  Mallery,"Fiction, Romance","Harlequin Enterprises, Ltd.",2009
204,Digital,OverDrive,EBOOK,2018,1,1,Enchanted No More,,Robin D. Owens,"Fantasy, Fiction, Romance","Harlequin Enterprises, Ltd.",2011
213,Digital,OverDrive,EBOOK,2018,1,1,"Sin and Sensibility: The Griffin Family Series, Book 1",,Suzanne Enoch,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2010
218,Digital,OverDrive,EBOOK,2018,1,1,Volume Four,,Brian James Freeman,"Fantasy, Fiction, Horror, Romance","Random House, Inc.",2017
219,Digital,OverDrive,EBOOK,2018,1,2,"The Minor Adjustment Beauty Salon: The No. 1 Ladies' Detective Agency Series, Book 14",,Alexander McCall Smith,"Fiction, Humor (Fiction), Mystery","Random House, Inc.",2013
229,Digital,OverDrive,EBOOK,2018,1,1,Max and Ruby at the Warthogs' Wedding,,Rosemary Wells,"Juvenile Fiction, Picture Book Fiction","Penguin Group (USA), Inc.",2015
